"Full_Path","File","Title","Description","Canonical","Broken_Links","Link_Status"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\404.html","404.html","404 - Page Not Found | Ideal Play Abacus India","Oops! The page you are looking for does not exist. Return to Ideal Play Abacus India home page.","https://www.playabacusindia.com/404.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\abacus-class-near-me.html","abacus-class-near-me.html","Best Abacus Classes & Training for Kids Near Me | IPA Abacus","Discover the best abacus classes for kids near you at IPA Abacus! Our program uses Abacus, Brain Gym, and Speed Writing to boost skills and self-confidence.","https://www.playabacusindia.com/abacus-class-near-me.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\abacus-class.html","abacus-class.html","Best Abacus Coaching Classes & Training for Kids | IPA Abacus","Discover the best abacus coaching classes for kids at IPA Abacus! Our program uses Abacus, Brain Gym, and Speed Writing to boost skills and self-confidence.","https://www.playabacusindia.com/abacus-class.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\abacus-classes-online.html","abacus-classes-online.html","Best Abacus Classes Online & Training for Kids | IPA Abacus","Discover the best abacus classes online for kids at IPA Abacus! Our program uses Abacus, Brain Gym, and Speed Writing to boost skills and self-confidence.","https://www.playabacusindia.com/abacus-classes-online.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\abacus-franchise.html","abacus-franchise.html","Start Your Own Abacus Franchise in India | Ideal Play Abacus","Start your own Abacus Franchise with Ideal Play Abacus in India. Low investment, high returns, full training & marketing support across India.","https://www.playabacusindia.com/abacus-franchise.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\about-us.html","about-us.html","Ideal Play Abacus India: Empowering Young Minds Since 2003","Learn more about Ideal Play Abacus India (IPA), founded in 2003 to revolutionize brain and math skills in children. 1500+ centers and 4,00,000+ students.","https://www.playabacusindia.com/about-us.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\blog.html","blog.html","Abacus Learning Blog | Expert Articles | Ideal Play Abacus India","Explore expert articles on abacus training, brain development, and child learning. Stay informed with Ideal Play Abacus India Learning Blog.","https://www.playabacusindia.com/blog.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\contact-us.html","contact-us.html","Contact Ideal Play Abacus India | Franchise & Class Inquiries","Reach out to Ideal Play Abacus India for franchise inquiries, class details, or general support. Call, email, or use our contact form to connect.","https://www.playabacusindia.com/contact-us.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\events.html","events.html","Abacus Events & Competitions | National Level | Ideal Play Abacus India","Explore our latest national and regional abacus events and competitions designed to enhance children","https://www.playabacusindia.com/events.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\franchise.html","franchise.html","Join Ideal Play Abacus India Franchise | Low Investment Opportunity","Start your career as an educator and entrepreneur with Ideal Play Abacus India. Low investment franchise opportunities with complete support.","https://www.playabacusindia.com/franchise.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\gallery.html","gallery.html","Gallery | Student Achievements & Events | Ideal Play Abacus India","Explore the vibrant gallery of Ideal Play Abacus India showcasing student achievements, events, and classroom activities across 1500+ centers.","https://www.playabacusindia.com/gallery.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\googleb36ee120e2cd245d.html","googleb36ee120e2cd245d.html","","","","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\how-to-do-abacus-fast.html","how-to-do-abacus-fast.html","How to Do Abacus Fast: Speed Tricks & Techniques | IPA Abacus","Learn how to do abacus fast with proven abacus speed tricks and mental math techniques. Boost your calculation speed with IPA Abacus!","https://www.playabacusindia.com/how-to-do-abacus-fast.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\index.html","index.html","Best Abacus Classes & Abacus Franchise in India | IPA","Join India","https://www.playabacusindia.com/","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\phonics-star-class.html","phonics-star-class.html","Phonics Star Classes: English Fluency for Kids | IPA Abacus","Enroll your child in Phonics Star classes at IPA Abacus. Boost English pronunciation, vocabulary, and communication skills for kids aged 4-10.","https://www.playabacusindia.com/phonics-star-class.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\terms-and-conditions.html","terms-and-conditions.html","Terms and Conditions | Ideal Play Abacus India","Read the Terms and Conditions for using the services of Ideal Play Abacus India. Understand the rights and obligations of our students and partners.","https://www.playabacusindia.com/terms-and-conditions.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\what-is-the-right-age-for-a-child-to-learn-abacus.html","what-is-the-right-age-for-a-child-to-learn-abacus.html","What Is the Right Age for a Child to Learn Abacus? | IPA Abacus","Discover the ideal age for a child to start learning abacus. Learn the benefits of early abacus training for brain development and math skills.","https://www.playabacusindia.com/what-is-the-right-age-for-a-child-to-learn-abacus.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\when-did-abacus-got-invented.html","when-did-abacus-got-invented.html","When Was the Abacus Invented? Origin & History of Abacus | IPA","Explore the fascinating history and origin of the abacus. From ancient calculation tools to modern brain development programs at IPA Abacus.","https://www.playabacusindia.com/when-did-abacus-got-invented.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\blog\Fun-&-Creative-Art-Activities-for-Kids.html","blog\Fun-&-Creative-Art-Activities-for-Kids.html","10 Fun & Creative Art Activities for Kids | Ideal Play Abacus India","Discover 10 fun & creative art activities for kids to boost brain power, focus, and confidence. Learn how creative arts support abacus training and child development.","https://www.playabacusindia.com/blog/Fun-&-Creative-Art-Activities-for-Kids.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-campbell-bay.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-campbell-bay.html","Best Abacus Classes & Franchise in Campbell Bay, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Campbell Bay, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-campbell-bay.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-car-nicobar.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-car-nicobar.html","Best Abacus Classes & Franchise in Car Nicobar, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Car Nicobar, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-car-nicobar.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-diglipur.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-diglipur.html","Best Abacus Classes & Franchise in Diglipur, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Diglipur, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-diglipur.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-hut-bay.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-hut-bay.html","Best Abacus Classes & Franchise in Hut Bay, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Hut Bay, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-hut-bay.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-mayabunder.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-mayabunder.html","Best Abacus Classes & Franchise in Mayabunder, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Mayabunder, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-mayabunder.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-port-blair.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-port-blair.html","Best Abacus Classes & Franchise in Port Blair, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Port Blair, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-port-blair.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andaman-and-nicobar-islands\abacus-franchise-in-rangat.html","locations\andaman-and-nicobar-islands\abacus-franchise-in-rangat.html","Best Abacus Classes & Franchise in Rangat, Andaman And Nicobar Islands | Ideal Play Abacus India","Start your genius journey with the best abacus training in Rangat, Andaman And Nicobar Islands. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andaman-and-nicobar-islands/abacus-franchise-in-rangat.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andhra-pradesh\abacus-franchise-in-adoni.html","locations\andhra-pradesh\abacus-franchise-in-adoni.html","Best Abacus Classes & Franchise in Adoni, Andhra Pradesh | Ideal Play Abacus India","Start your genius journey with the best abacus training in Adoni, Andhra Pradesh. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andhra-pradesh/abacus-franchise-in-adoni.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andhra-pradesh\abacus-franchise-in-anantapur.html","locations\andhra-pradesh\abacus-franchise-in-anantapur.html","Best Abacus Classes & Franchise in Anantapur, Andhra Pradesh | Ideal Play Abacus India","Start your genius journey with the best abacus training in Anantapur, Andhra Pradesh. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andhra-pradesh/abacus-franchise-in-anantapur.html","","OK"
"C:\Users\navee\OneDrive\Documents\GitHub\ipa\locations\andhra-pradesh\abacus-franchise-in-chittoor.html","locations\andhra-pradesh\abacus-franchise-in-chittoor.html","Best Abacus Classes & Franchise in Chittoor, Andhra Pradesh | Ideal Play Abacus India","Start your genius journey with the best abacus training in Chittoor, Andhra Pradesh. Join Ideal Play Abacus (IPA) for online classes and low-investment franchise opportunities.","https://www.playabacusindia.com/locations/andhra-pradesh/abacus-franchise-in-chittoor.html","","OK"
